taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,NSW,2019,7579,7534,521932971,6664,119009280,6372,126343466,352,1588761,6617,474147628,6475,125198032,237,1340676,199,2431071,41,667060,39,1343291,7541,544359700,365,799177,2812,1117057,6347,21952477,810,5226645,1320,31016073,498,5133915,830,-7846434,3301,976108,4559,3943,2389188
2017/2018,NSW,2020,12022,11893,694026397,10001,148703004,9446,157319272,535,2580554,10422,636029774,10175,159336815,333,1836028,211,2549634,42,512842,58,1929170,11903,721036842,686,1922012,3408,1439891,9023,26460099,826,4846903,1988,53377926,698,7494704,1304,-14117432,5667,1732450,5640,4800,2618673
2017/2018,NSW,2021,11043,10951,1485440124,9718,482380331,9325,502778189,1025,5791842,8578,958024906,8379,319527799,279,1643098,174,2314090,51,1346713,125,6278332,10968,1547549379,537,1928069,3755,11961604,8699,58686596,1213,10203009,2066,79581115,1032,18473491,1040,-15691329,3505,1053365,8180,6172,4153142
2017/2018,NSW,2022,9633,9539,939818938,8290,276704939,7844,288424099,426,2441555,7456,640532935,7232,194667825,211,1413278,239,2991576,35,327338,94,3656041,9552,975351768,424,1163916,2978,4382395,7236,33763412,911,7661104,1580,63057055,907,17992885,686,-8860705,3562,1119220,6030,4685,3251952
2017/2018,NSW,2023,7513,7435,1453313531,6566,528333767,6289,549820396,422,2327147,5068,560976230,4845,191004831,139,773072,95,1263011,33,847034,43,2036383,7459,1529110204,225,823327,2616,27316949,5667,72400476,783,8184636,1581,92585153,927,26995570,656,-13404444,2325,721489,5982,4617,3698315
2017/2018,NSW,2024,7795,7717,1020636263,6828,331206932,6466,343188845,476,2538931,5931,612373637,5770,199278107,198,1103904,188,2463590,37,709199,83,3948062,7740,1060649821,331,1057247,2661,7408022,6132,38280256,876,7231436,1528,54884996,830,14389763,718,-11165160,2674,816227,5668,4397,2971432
2017/2018,NSW,2025,5362,5298,872385673,4656,303351698,4377,311453092,364,2282377,3656,403772857,3534,135328315,111,587105,138,1837724,29,738649,63,5095150,5316,918056815,207,1041177,1891,13218510,4099,43225546,579,5421600,1074,54297771,608,15767257,474,-7689655,1573,482688,4197,3267,2633322
2017/2018,NSW,2026,24495,24286,2520909245,21497,752428464,20500,786746220,1388,7882653,19884,1765708786,19423,547582138,543,3251984,398,4785377,78,1365692,146,4731100,24317,2621320583,1119,3246617,7304,17675700,18657,97214390,2166,15237301,3766,143900992,2018,35948922,1778,-26114675,8936,2775004,15426,11817,7433606
2017/2018,NSW,2027,6139,6041,1220604988,5338,444766649,5039,460190856,350,2163678,3844,448340356,3663,152557578,99,715884,123,1605743,26,595386,83,5650381,6060,1301042814,220,1031979,2236,32815340,4740,77131497,613,5804570,1366,86236651,824,26227240,546,-13615171,1705,517561,4976,3957,3351083
2017/2018,NSW,2028,3517,3470,852619944,3101,324265105,2926,336692865,286,1757124,2430,245497807,2320,79756040,80,481821,77,960627,16,209399,48,2394765,3489,876433409,121,360919,1263,6100664,2700,22792851,345,3336834,698,37453480,406,11692820,299,-4864440,1117,340913,2826,2254,1818947
2017/2018,NSW,2029,7071,6990,840464129,6151,263715188,5801,275160043,395,2086317,4890,457105154,4657,142961500,181,1011077,194,2355997,33,875327,55,2655657,7012,883826626,254,687833,2386,10219497,5346,41651731,663,6501778,1359,65481659,788,21805304,580,-9403569,2452,740426,5568,4403,3501699
2017/2018,NSW,2030,10040,9920,1826822961,8580,662069814,8085,663842522,447,2481141,6262,719187109,5863,250447965,213,1209601,174,2125784,50,1147039,65,3271623,9935,1972526497,228,781454,3264,65021086,7167,139741334,1057,12223128,2347,138336713,1470,44081283,892,-20241204,3170,990022,8395,6461,5449644
2017/2018,NSW,2031,23350,23178,2212076079,20304,626368093,19339,657176048,1420,7263507,18868,1644878422,18402,495441518,607,3386947,501,6138711,111,2160308,238,7967816,23219,2301160376,1211,3281298,8230,10274294,18344,86134691,2611,21415209,4065,129469405,2094,32045941,2000,-24516033,8402,2506572,15769,12506,7994869
2017/2018,NSW,2032,8359,8259,538553328,6532,129708939,6057,136435200,380,1837486,6493,414843523,6258,111791757,372,2413571,243,3044518,31,601849,70,2099852,8268,558894442,361,862468,2422,1639147,5778,19216073,819,6193420,1714,60396055,992,15698624,734,-8922936,3447,1069204,4933,4025,2669670
2017/2018,NSW,2033,7432,7348,544055703,5915,140808137,5583,147394227,422,2014691,5905,408884470,5718,114746420,314,1873012,130,1586991,27,394534,39,1233695,7354,565932790,361,1147454,2176,1652174,5180,21204177,707,5601586,1374,47774387,717,11785899,666,-7623989,2926,904992,4515,3551,2312329
2017/2018,NSW,2034,14437,14345,1432439073,12679,412505504,12133,431289389,948,4915594,11731,1050425810,11456,321540000,448,2583833,277,3289660,79,1970792,152,6115009,14354,1489673677,732,1948458,5020,5698191,11483,56179827,1569,12921109,2899,107559836,1500,26840262,1418,-17230537,5111,1522181,9722,7653,4932181
2017/2018,NSW,2035,22141,21927,1729128748,18539,453891435,17331,475375967,986,4741892,17202,1272720480,16649,357926460,770,4773881,679,8118273,134,2801915,194,6285945,21946,1794779725,911,2304871,6940,4911641,16666,64139923,2293,19100273,4810,174174276,2613,46480196,2235,-25087418,8987,2758192,14499,12020,8122678
2017/2018,NSW,2036,17558,17429,1202946267,14735,288349026,13760,303533789,742,3408963,14210,987460729,13806,265578565,742,4446741,678,8118849,98,1615133,171,5082710,17456,1251928896,698,1604960,5780,2890611,13698,48004320,1833,14603178,3539,102138782,1737,21928696,1833,-18393993,7804,2357303,10637,8952,5842556
2017/2018,NSW,2037,10704,10603,896927244,8961,243625788,8478,255009462,883,4526417,8800,696711790,8572,206637390,575,3625884,190,2374483,61,1070718,118,4576641,10613,930657296,608,1776714,3295,3584472,7823,33262462,1120,8400393,1764,56068874,838,11340989,941,-11653821,4094,1244841,6443,4938,2914513
2017/2018,NSW,2038,6326,6292,617623229,5522,174089388,5309,182106920,547,2869563,5212,477210569,5078,146276197,259,1494602,121,1398408,36,581536,68,3117022,6303,641597421,349,990015,2437,2469329,5044,23223603,840,6953322,1240,37232088,580,7589823,670,-7865173,2218,671663,4624,3689,2283655
2017/2018,NSW,2039,6058,6007,645018067,5258,188099128,5022,197689981,388,2163978,4852,503051238,4730,159157255,147,932060,120,1424355,39,824731,62,2232489,6020,668934420,276,970284,2275,2059839,4869,23300114,860,6552796,1276,34789422,532,6058171,752,-8271272,1819,539258,4604,3590,2238955
2017/2018,NSW,2040,13870,13785,1276710601,12198,347383674,11620,364841162,956,4677554,11645,1048836859,11429,315756038,573,3575120,313,3844892,73,1209198,130,5186483,13797,1322139081,672,1896515,5229,3642304,11100,44702583,1800,13611864,2581,67118257,1133,12295017,1471,-15035822,4928,1476548,9881,8024,4866013
2017/2018,NSW,2041,11253,11147,1430765722,9736,453226251,9255,473648413,661,3594409,8508,976899399,8269,323961697,305,1911580,215,2387650,63,1377383,171,7751911,11174,1492119677,418,1308921,4383,13419448,8771,59404367,1625,14366060,2522,82699553,1225,17259387,1315,-18455906,3363,1021536,8972,6853,4746492
2017/2018,NSW,2042,13578,13481,1033900638,11791,256485824,11322,271214899,1411,6889973,11828,875416441,11596,246883301,809,5088044,180,2210231,68,1109172,96,3138485,13491,1069747010,790,2221710,4480,3306556,10276,34629362,1449,10340255,2016,57731950,966,12826929,1065,-10480864,5470,1609440,8091,6510,3438279
2017/2018,NSW,2043,6592,6554,568532124,5969,144245813,5830,153475408,767,4054860,5946,513326786,5874,149157189,196,1146900,48,571309,25,409589,42,1263007,6558,587746462,444,1245544,2466,1409162,5369,19062727,787,5140180,1073,28074971,414,3841267,663,-6690183,2181,609129,4547,3750,1887406
2017/2018,NSW,2044,5438,5414,375246874,4777,86149424,4567,91457254,419,1943528,4763,339806458,4669,91084374,287,1666879,95,1294490,31,430925,28,832351,5419,388350076,305,696384,1936,884511,4350,12805723,582,3841095,864,22545717,336,3211995,532,-5523662,2368,702447,3158,2697,1424521
2017/2018,NSW,2045,4081,4042,394392685,3448,114234092,3218,120095248,210,990038,3045,264926950,2935,80547794,114,587098,104,1286759,24,346611,40,1650056,4054,410307398,145,426239,1467,1424316,3122,15277599,538,5323124,1079,41229828,649,11858693,444,-6098070,1566,485106,3180,2493,1813711
2017/2018,NSW,2046,16983,16869,1472045747,14574,398024599,13662,419354450,876,4402916,13220,1103044431,12807,320030860,483,2710051,578,6934222,119,2441013,180,5689719,16893,1530316157,679,1856038,6107,4216061,13371,56769106,1999,15977438,4300,137830717,2119,32303515,2213,-27306419,6385,1961782,13031,10837,7398616
2017/2018,NSW,2047,8061,7988,790849777,6924,226100554,6553,237596262,494,2520757,6142,562239326,5962,170672012,199,1113523,196,2260947,51,1199037,74,3066791,8007,823892515,359,972073,2967,4743252,6332,32157910,1065,9420704,1966,65445070,993,14645344,989,-12214900,2729,826100,6271,5067,3559383
2017/2018,NSW,2048,5330,5306,430099587,4652,110009225,4447,116140377,544,2492690,4579,354819852,4498,100962108,310,1873035,102,1204729,27,594157,39,1634608,5309,444861007,288,824113,1897,1240463,4159,14401716,594,4263767,884,24409566,453,5156468,439,-4660345,2121,638126,3446,2789,1625150
2017/2018,NSW,2049,7930,7886,600566962,6904,148065729,6555,156407746,830,3948650,6857,517217321,6709,146446162,508,3035992,161,2065484,33,310524,61,2360815,7891,621249930,499,1298199,2804,1798543,6148,20176424,856,5647218,1211,32221343,568,6626521,654,-6070239,3226,976510,4854,3935,2232734
2017/2018,NSW,2050,5931,5883,488532605,5104,126534116,4931,133735012,645,3509537,5232,426505916,5115,125265891,303,1963625,66,691480,27,439860,38,1281082,5890,505954186,425,1480597,1922,1410075,4542,17022094,682,4604120,965,25086496,389,3766414,583,-6468388,2112,629255,3868,3103,1630945
2017/2018,NSW,2052,142,142,4013458,56,762331,52,774451,3,11260,123,3102640,116,702631,21,113228,0,0,0,0,1,44506,142,4065904,5,5350,7,1408,40,52446,6,23480,8,146806,4,31450,4,-36600,39,14211,60,22,12739
2017/2018,NSW,2057,185,182,14153566,140,3785514,130,3998717,9,37784,124,11598348,121,3494757,2,14087,4,80806,2,16631,3,18367,182,14962433,6,31077,46,40672,148,725537,24,181605,52,1653884,20,322363,32,-516686,50,13363,142,118,77084
2017/2018,NSW,2059,205,204,24823831,179,7870219,167,8172398,4,12278,132,12840760,125,3954383,3,18807,3,61482,1,38333,1,72552,204,25657730,3,7340,52,57141,144,833899,28,292218,48,1503644,26,254577,23,-260539,62,18111,145,116,91160
2017/2018,NSW,2060,11199,11072,1314501483,9660,409084641,9214,424551958,834,4624658,8746,847872159,8507,266114480,226,1377588,214,2631742,64,2671198,141,6720575,11101,1364149701,621,1995655,3721,11134586,8512,48201613,1362,11565535,2190,75216031,1136,17769373,1067,-15960063,3537,1047622,8122,6479,4330664
2017/2018,NSW,2061,4665,4605,637617773,4016,208203554,3839,215918964,334,1946720,3418,391505948,3318,130784297,90,547199,65,861994,29,925545,37,2412502,4619,669362994,250,839436,1638,9915739,3581,30322514,599,5273577,1044,42896241,557,10660154,495,-7544540,1283,386107,3535,2747,1984054
2017/2018,NSW,2062,4841,4808,533763325,4202,158834422,3992,166218916,326,1842643,3750,384946099,3639,121341130,98,545294,102,1269505,31,602421,55,2570558,4817,553736540,213,763235,1873,1927626,3887,19585694,657,5268271,988,31950420,479,7728609,518,-5908847,1471,437407,3893,3140,2166179
2017/2018,NSW,2063,4338,4304,733738391,3671,257247435,3443,266820943,171,864581,2743,359536060,2597,127926434,73,361694,72,897176,30,959188,59,2551302,4317,761427667,100,308065,1666,3997151,3250,26903086,553,5830326,1062,43880318,628,12943330,439,-6641409,1285,401901,3793,2746,2236113
2017/2018,NSW,2064,6550,6494,573826152,5482,158168199,5193,165532117,371,1891784,5273,443260348,5107,131073914,216,1287395,138,1731692,30,525681,63,2457720,6498,593768319,376,1127910,2093,3500901,4926,19773567,789,5900694,1313,38453200,556,6196656,766,-9073632,2399,729485,4703,3786,2381961
2017/2018,NSW,2065,22180,21992,2260168314,19389,648588916,18555,681020860,1673,8731465,17891,1712301931,17425,527134532,478,2669836,373,4364158,100,2011030,219,9175895,22019,2343604284,1250,4098860,7792,13588973,17255,81820178,2805,23088592,4282,133399602,2011,27488412,2303,-28404440,7149,2092945,16947,13449,8625401
2017/2018,NSW,2066,21924,21724,2280130439,18811,672775942,17875,705232680,1422,7022121,17181,1637663222,16667,508410784,522,2802655,542,6511972,105,1587815,249,10023259,21757,2369397657,1117,3168379,7871,11848005,17022,83777891,2751,22956986,4494,148670888,1991,31196201,2545,-33219348,7500,2256311,17170,13570,9200915
2017/2018,NSW,2067,17487,17173,1292462501,13735,342857721,12719,355567572,672,3501886,12678,966635572,12103,279411220,433,2537106,409,5066868,49,668589,182,6106267,17203,1336468326,804,2334067,4336,5120363,12014,42341061,1525,12403968,4214,148811703,1956,28195438,2291,-31096867,6840,2177987,11413,9440,6287627
2017/2018,NSW,2068,11069,10957,1349297199,9296,428305096,8764,447813020,486,2482701,8017,877357414,7675,290259341,250,1444226,271,2941434,63,1144212,119,4282810,10976,1398622634,359,845320,4099,5038089,8419,46634759,1448,13091188,2465,86199647,1283,21368216,1197,-16359308,3546,1120498,9246,7060,5181426
2017/2018,NSW,2069,9760,9662,1195075629,8027,385834470,7506,399118597,444,2296649,6660,712447939,6330,238057381,217,1219663,235,2700480,43,877671,149,6275331,9679,1243999185,334,1001864,3335,8157532,7183,47205255,1219,11114873,2353,89216894,1238,20523739,1131,-16185930,3314,1034981,8115,6120,4702495
2017/2018,NSW,2070,9482,9377,1062016072,7747,332441968,7242,345743349,450,2257654,6498,646906862,6165,209961800,207,1057224,219,2622330,66,648128,156,6369904,9385,1110732071,363,1031004,3228,12683400,6951,47368082,1168,11227042,2302,83502031,1152,18669837,1162,-16738966,3167,992051,7949,6080,4649662
2017/2018,NSW,2071,9052,8910,989591996,7223,310583531,6687,324209914,414,2185312,5903,574574077,5566,185866228,196,1125093,200,2239512,50,794538,123,5076326,8940,1030448934,326,986022,2911,7760582,6481,38403677,1023,9732892,2366,93711205,1165,20704500,1221,-18362515,3029,958828,7497,5796,4487865
2017/2018,NSW,2072,5659,5562,521993698,4441,153612942,4107,160671760,236,1191048,3957,347720875,3751,107513970,175,934797,133,1560399,39,660441,74,2955754,5584,550503829,244,555067,1689,7749345,4024,26014824,673,6049811,1339,44720404,623,8493229,721,-10439999,2000,619048,4462,3525,2548516
2017/2018,NSW,2073,10983,10857,1187682115,8883,364598929,8340,381015525,470,2371218,7911,770667923,7494,245269582,248,1356342,231,2482779,76,1195731,150,6618388,10884,1231879777,400,1053850,3744,5483692,8088,42132399,1532,15193107,2710,94260988,1276,17707902,1453,-21552308,3526,1109400,9407,7094,5361268
2017/2018,NSW,2074,14899,14746,1560847308,12087,474187235,11083,494196805,606,3030958,10069,982268807,9629,311939081,302,1785461,621,6856658,80,1450815,315,11498241,14776,1618178222,523,1448055,5239,8098806,11029,54627238,1918,17828436,3097,99205950,1484,20878384,1626,-22963771,4955,1554064,12752,9972,7989416
2017/2018,NSW,2075,13796,13624,1274002313,11044,366986944,10177,381726927,512,2503197,9313,878010459,8873,276054058,256,1532464,535,6044595,67,1350422,212,7067509,13649,1328075562,445,1074261,4293,9755849,10006,52418189,1718,16464569,2951,92289687,1345,18050669,1625,-21052475,4718,1488812,11802,9452,7522175
2017/2018,NSW,2076,15898,15737,1505758050,12882,439209913,11959,457166741,723,3492735,11268,1009517678,10769,310578830,403,2248711,570,6352700,126,3009361,253,9126119,15764,1566422241,635,1545022,5417,8266277,11888,58148913,1991,18355262,3536,102379465,1517,18952448,2044,-27241491,5517,1745329,13184,10443,7995037
2017/2018,NSW,2077,25855,25592,1612853036,20989,363073319,19724,384436318,1188,5419914,21052,1416365004,20352,369321976,967,5884539,847,9664100,129,1748467,229,6476094,25609,1663465673,1430,3273237,7224,3712678,19177,49949738,2511,18037380,4499,104618545,1628,14637100,2927,-30093466,10983,3338206,16987,14589,9106515
2017/2018,NSW,2079,4903,4868,327113751,4064,75619487,3858,79927130,235,1039760,4003,285940606,3885,76846859,149,833601,166,1779094,39,733782,56,1839226,4871,338916434,228,548574,1654,1145563,3778,11528748,632,4784078,832,18605032,323,2689327,522,-5298549,2057,616663,3703,3108,2082259
2017/2018,NSW,2080,1114,1107,70027048,889,16023855,826,16935340,37,144914,864,58139034,833,15504512,41,227201,57,553420,10,187325,10,203045,1107,72690758,44,69561,376,239647,844,2646449,124,926122,210,4673680,86,787889,128,-1219218,454,141598,842,698,487208
2017/2018,NSW,2081,3499,3477,237614924,2885,56087159,2708,59139995,132,589699,2865,205532369,2789,56129122,93,546961,130,1358664,28,577185,39,1163444,3480,245822803,140,279380,1149,576206,2660,8098218,483,3673825,620,12801914,238,2014916,390,-3498464,1432,442313,2754,2269,1549685
2017/2018,NSW,2082,3383,3366,226988986,2765,53175756,2572,56204271,132,584204,2709,190360849,2631,51238418,84,515535,170,1821576,27,525498,46,1500803,3372,234599953,116,188797,1218,599811,2578,7489238,421,3267699,582,11689174,238,1925469,352,-2673963,1371,417004,2638,2193,1549124
2017/2018,NSW,2083,1039,1026,64591184,826,14696168,766,15424421,29,137138,770,51766837,742,13862316,40,287338,52,624691,9,113924,23,698927,1029,67271143,29,56481,345,228134,782,2536809,141,1194996,201,4752765,118,1122951,84,-758840,465,145057,680,587,398284
2017/2018,NSW,2084,2539,2517,250235575,2066,73981973,1937,77249503,71,301580,1778,140583491,1710,41042180,49,278958,84,979364,18,299279,29,1117418,2520,262372697,75,134778,782,2075971,1881,11792778,291,2869948,483,14738420,255,3934948,231,-2662020,926,284728,2096,1661,1309781
2017/2018,NSW,2085,7365,7313,554369580,5863,143990421,5380,151015457,222,1016777,5298,423000864,5067,123151593,147,823508,417,4406503,43,1042576,132,3946289,7327,576828878,221,544084,2513,2333989,5504,21525514,845,7250268,1302,33334557,630,7773184,681,-6717814,2815,885891,6030,4877,3728407
2017/2018,NSW,2086,8616,8537,680291439,7121,177320291,6629,186840457,316,1438022,6698,542054724,6442,157362704,190,955012,343,3884069,48,788928,120,3469807,8548,704765241,332,700548,2888,1711015,6526,23896199,1034,8491922,1682,44659244,823,10166586,874,-9500021,3343,1038504,6868,5539,3995703
2017/2018,NSW,2087,8006,7935,669729507,6466,182846532,5978,191069635,270,1251916,5770,497738352,5536,149860539,185,1038365,346,4287570,43,931225,132,4427711,7947,694813393,257,662210,2846,2641694,5866,24493530,986,8636466,1753,49719847,937,12013767,829,-9234347,2918,920679,6470,5211,3877557
2017/2018,NSW,2088,20331,20083,3494971883,17205,1235290981,16232,1268246126,980,5214715,13564,1753313809,12952,619985310,386,1972916,462,5464173,126,2757067,330,16568102,20149,3640603856,665,1820388,7302,35855831,15601,140027507,2429,24065721,4037,165467669,2237,44880162,1832,-31894817,6077,1850871,16783,12479,9945321
2017/2018,NSW,2089,8989,8900,957373383,7849,283462430,7479,296812091,745,4065827,7002,687427671,6812,215126869,206,1142167,211,2630234,44,1038081,117,5665471,8919,1000901142,478,1532868,3077,7923038,7081,42485637,1041,8180212,1673,51597205,827,10991468,855,-10841993,2944,874271,6762,5426,3639924
2017/2018,NSW,2090,9518,9422,1183524539,8241,375411860,7781,391317954,626,3421947,7153,763395703,6925,246871392,175,1043910,245,2901232,50,881018,146,6463298,9440,1230968327,415,1583207,3398,9404158,7517,45646452,1303,10910805,1850,63054521,940,16012024,913,-12535322,2932,881759,7540,5855,4185269
2017/2018,NSW,2092,4602,4548,657506738,3858,222898979,3637,231564190,168,780060,3274,361584785,3141,121295530,98,556285,110,1211902,35,756041,46,1953011,4574,687824977,127,269063,1504,10215107,3430,29285562,579,5503514,1003,38907451,543,10729179,470,-6664243,1563,489217,3861,2930,2243980
2017/2018,NSW,2093,15375,15248,1688119967,13051,516688549,12295,539625144,646,3133913,11667,1157269445,11235,373288652,346,1840132,432,4831247,92,1841363,173,5797820,15284,1749410053,551,1272087,5202,6829994,11903,58729833,1865,16229166,2763,86639788,1421,21415181,1366,-15719846,5643,1752999,11940,9352,6659534
2017/2018,NSW,2094,4351,4320,468378352,3748,139924244,3557,145755618,204,1017343,3340,324124047,3229,102255893,105,546644,109,1134366,38,897252,61,1502960,4329,487404464,201,517877,1464,2468722,3391,18708191,599,4955153,795,25539740,453,7203639,350,-3911907,1480,453978,3429,2679,1848589
2017/2018,NSW,2095,12370,12253,1616501301,10728,527472626,10221,469517936,547,2875801,9569,956267986,9293,308209315,234,1340011,213,2454434,70,1790281,136,5010977,12279,1667722427,466,1348868,3693,6550870,9349,49466332,1368,11389382,2122,81408128,1219,21318787,921,-12563300,4180,1291131,8609,6443,4335227
2017/2018,NSW,2096,10386,10318,1036430499,9029,300929777,8547,315008616,534,2592640,8208,754793015,7980,234635085,218,1166800,232,2695465,61,1292514,102,3135021,10329,1073835425,439,926638,3342,2499096,8127,36557470,1194,10066732,1917,57942244,981,13007431,953,-11825759,3881,1174573,7735,6091,3949439
2017/2018,NSW,2097,10584,10507,865367843,8974,231058774,8394,242220283,428,1933414,8140,624200964,7850,178854084,237,1250521,368,4148727,80,1541690,100,2792112,10529,904264150,369,702191,3185,6228435,8095,38042246,1199,10507895,2165,61976845,1131,14883685,1034,-10886079,4379,1349431,7931,6473,4562942
2017/2018,NSW,2098,65,64,4350522,59,989559,53,1043590,1,2300,45,3115448,44,802990,1,2981,3,43865,1,15131,1,17501,65,4542539,1,1528,17,2670,53,135392,9,84502,17,615131,12,301897,5,-44313,31,7886,48,45,38696
2017/2018,NSW,2099,27327,27128,1909911483,23093,466299191,21621,491385724,987,4463165,22030,1515843312,21433,407734529,852,4674691,994,11336020,146,3276566,257,7241037,27150,1989572887,1011,2278807,7463,12488755,21001,77538152,2584,18728975,4302,110955909,2027,24642437,2299,-21859543,12750,3910986,16902,14175,9260676
2017/2018,NSW,2100,14201,14112,1060543973,11984,267236197,11180,280939881,484,2169533,11158,837467215,10791,235477457,362,2058401,565,6351215,73,1410324,162,5075195,14119,1099915890,482,1079787,4360,2318297,10945,38088143,1531,12046984,2663,75793706,1392,20384134,1293,-12938187,6114,1887475,10259,8494,5799835
2017/2018,NSW,2101,12820,12735,975852290,10798,250961572,10016,262336178,473,2110942,9492,684537555,9165,190215674,325,1958777,641,7174887,90,1482579,203,5785784,12748,1016531087,426,840274,3896,4116813,9823,40095852,1329,10852508,2370,64620441,1226,16039026,1171,-11831352,5493,1706365,9335,7872,5515545
2017/2018,NSW,2102,4806,4764,372406945,4004,96253562,3754,100792186,160,719892,3715,281245749,3593,78943054,104,479469,187,1972017,29,758966,57,1756935,4770,386860650,153,359387,1484,1243308,3743,14289149,512,3765837,892,22851149,397,5303769,507,-5059290,1956,592052,3550,3006,2088647
2017/2018,NSW,2103,7429,7376,555880863,6130,141845921,5675,148521064,252,1144238,5291,389338377,5083,109707273,167,881524,358,3873873,61,1295222,119,3715934,7384,580441836,220,429217,2296,1523299,5644,22843948,822,7723145,1444,41484629,796,12104857,660,-6572354,3034,940083,5655,4705,3488425
2017/2018,NSW,2104,2431,2414,250262204,1982,76363982,1779,78243510,88,441556,1441,119910440,1354,37093088,39,244191,122,1403853,22,486963,44,1263865,2420,261117414,48,131814,811,1224474,1804,10581588,265,2921317,457,16624319,278,5408584,180,-2806114,892,280979,2073,1722,1451932
2017/2018,NSW,2105,1414,1397,149383435,1156,46252310,1054,48081323,39,167059,907,72353477,840,21684577,31,186113,43,477520,12,192633,18,920150,1400,155435349,40,127810,416,501648,1031,5734039,170,1639461,263,8916176,166,2834799,97,-1046859,532,165778,1093,883,696564
2017/2018,NSW,2106,6820,6769,630411951,5641,183035024,5251,191734237,284,1231450,4905,361013091,4694,103449523,182,952295,255,2747540,69,1032074,65,2264151,6791,677402615,199,507151,1959,22907289,5093,45999636,810,8133995,1280,41248760,724,11153340,570,-6346049,2776,863728,5328,4353,3201018
2017/2018,NSW,2107,10378,10274,920163436,8441,263563803,7778,273942281,353,1609121,7017,531895351,6660,155232837,229,1274988,404,4364481,86,2042975,131,4504017,10311,965811979,265,553544,2962,5208420,7605,40914653,1151,11703121,1988,56530438,1182,17705537,828,-8065149,4104,1305529,8091,6616,5065739
2017/2018,NSW,2108,1284,1262,189955321,1029,66418265,939,68216146,38,187181,678,54166242,618,16481758,18,97968,27,347069,11,128231,14,569790,1267,201806062,22,39212,404,5094404,948,11505269,137,1746887,291,12007227,187,4179636,104,-1488209,416,131073,1071,891,802029
2017/2018,NSW,2110,6264,6208,1112579099,5257,397960605,4942,414948650,313,1762247,4203,461429523,4003,154892195,138,734366,179,2167981,42,975115,99,3701542,6220,1212288702,192,730458,2115,69758860,4593,96946549,801,7869274,1573,74370092,877,20621402,714,-12828055,1937,610047,5341,3996,3294016
2017/2018,NSW,2111,9490,9414,868966501,8061,243549393,7559,255798420,557,2624547,7327,613578486,7090,180051065,281,1644039,257,3203674,56,955255,114,3559596,9422,901278122,381,1057924,3491,3047521,7321,31754788,1196,10305009,1999,63013914,983,14557006,1029,-12006449,3546,1068007,7116,5752,3993807
2017/2018,NSW,2112,22008,21766,1522267857,17927,374190187,16795,391423751,1169,5602252,17448,1206429788,16839,325913088,805,4653620,676,8024610,97,1765843,205,6033979,21799,1581084308,1093,3003152,6806,5251906,16155,56232357,2189,16726723,4837,140209766,2061,23907957,2812,-32614087,9416,2896545,14499,12177,7746350
2017/2018,NSW,2113,14184,14020,966610786,11525,231299907,10793,243905570,704,3406395,11469,829915267,11097,228645371,419,2429653,433,5299017,81,1457979,173,4851276,14038,1001186723,747,1750590,4416,3518828,10363,33420966,1500,11358968,2863,75713118,1160,12064200,1740,-20335852,5556,1688277,9555,7969,5055476
2017/2018,NSW,2114,15735,15585,992506012,12765,228024004,11938,241161447,842,3834565,12691,842918283,12232,220830472,590,3755155,399,4729878,80,1212687,180,4454887,15592,1026222383,811,2032951,4708,2852650,11498,32368243,1654,12587311,3271,89205728,1304,14428165,1997,-22370565,6826,2077389,9912,8397,5074521
2017/2018,NSW,2115,6775,6701,398171290,5554,86022392,5169,90722084,356,1544203,5529,347044527,5329,87901927,376,2560315,204,2437413,17,311847,40,930703,6702,412840217,297,661848,2033,818065,4976,14498139,610,4151447,1348,31397241,458,4432566,901,-9088535,3146,962334,4005,3435,2070882
2017/2018,NSW,2116,3848,3816,217736057,3162,45466168,2953,48416055,184,782869,3153,195073949,3030,49090825,239,1463281,106,1297668,14,236042,23,650477,3822,226357240,173,343270,1199,496183,2874,8533552,348,2098008,674,14773094,246,1901531,432,-4469040,1837,576580,2223,1930,1142698
