taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,NSW,2009,9688,9556,834738155,8099,233921343,7703,243924255,436,2348970,7930,629221733,7719,184877938,202,1190727,122,1441221,48,956513,70,3314144,9581,868310644,461,1299647,2516,7232278,7085,31942054,941,7226969,1753,64881637,790,11185008,969,-14050775,3693,1159298,5548,4282,2698493
2017/2018,NSW,2010,20764,20553,1864233371,18210,517391947,17500,543361245,1647,9296416,17766,1487277132,17442,446018587,726,4676036,227,2929886,86,1151977,137,4981799,20578,1934907598,1183,4316228,6015,8194468,15664,69008302,2060,14152856,3084,103068267,1395,19573994,1715,-22925924,7894,2431358,11739,8874,4861142
2017/2018,NSW,2011,14588,14442,1571044050,12955,473936819,12368,494434547,1192,6732013,11886,1056996000,11653,322192283,410,2619886,290,3550521,61,1056421,177,8519439,14470,1638999728,775,2608936,4555,10930333,11269,62912470,1552,11343874,2369,80562750,1166,18152495,1219,-16237463,5135,1508192,8938,7103,4415688
2017/2018,NSW,2012,121,120,9865273,103,2561966,99,2718175,5,14390,92,7198587,88,2018256,3,43456,3,40116,2,1309,1,2526,120,10352659,5,8852,36,30481,90,487386,10,63703,19,379828,13,95810,6,-55079,45,12645,72,66,42592
2017/2018,NSW,2013,97,97,7763056,90,1955604,82,2070350,5,21049,82,6977638,81,1991630,3,24566,3,35151,0,0,0,0,97,8146342,4,4586,33,10683,84,383286,18,99484,36,656123,6,47031,30,-322881,46,14679,61,52,29006
2017/2018,NSW,2014,86,86,7998900,77,2188491,75,2200281,8,59052,71,5894154,70,1737218,3,9756,1,7574,3,19198,1,5247,86,8251982,5,52012,27,8391,73,253082,13,131576,20,437291,8,36532,13,-165858,35,9746,56,42,30676
2017/2018,NSW,2015,7911,7857,648766698,7112,162666168,6907,172324607,871,4624102,7063,579321522,6934,165967619,268,1634388,89,1049579,33,463182,41,1196771,7863,671914031,505,1504553,2813,1751234,6352,22849851,927,5958096,1311,35011269,476,4816698,847,-9276749,2891,831339,5176,4265,2221788
2017/2018,NSW,2016,8993,8917,708364655,7845,180743258,7533,190750207,882,4772885,7804,592644201,7671,168511516,426,2933221,122,1601990,31,567726,37,1415219,8925,734317680,570,1691795,2806,1830383,6883,25413221,937,6135054,1417,42058813,654,7699504,769,-8394320,3472,1047876,5127,4131,2173769
2017/2018,NSW,2017,15606,15414,1070208139,13151,253558477,12593,268511352,1109,5696398,13579,972778408,13238,265815349,543,3726149,217,2958436,35,427236,47,1284075,15424,1112146235,1070,3328190,4224,1981025,11556,40856879,1189,6303893,2312,66184407,712,6455985,1630,-18300123,6152,1821484,8238,6766,3364434
2017/2018,NSW,2018,10537,10444,650015335,8763,146461250,8211,154637739,593,2899292,8675,548101683,8430,140831070,475,2970419,265,3409517,35,504657,42,1169155,10454,677092188,519,1233659,3084,1595416,7915,24355492,801,5012259,1872,52923126,836,10499046,1042,-10334013,4914,1509045,5470,4630,2705810
